company_name,cage,email,phone,contact_name,linkID
ARGO TURBOSERVE CORPORATION,101458,brett.swenson@us.schunk-group.com,816 739-8066,Paul Fisher,101458
SENSOR SYSTEMS LLC,101460,tom.basso@mgaviation.com,011390523810410,Edward Sarno,101460
ERIC J SWANSON,101463,sales@htcmfg.com,951-296-6573,ALINA,101463
"AEROSPACE FASTENERS, INC.",101464,,757-622-6313,CHERYL PERRY,101464
"SEACOAST ELECTRONICS, INC.",101465,,336-661-1556,VERONICA MARTINEZ,101465
"AMERICAN FIBERTEK, INC.",101470,,908-367-5944 ,RON SWEENEY,101470
WOLVERINE BRASS,101480,,817-483-9111,Zach Padellford,101480
THE ANT COMPANY OF VIRGINIA,101485,,517-548-4372,AUBREY UPDYKE,101485
LGS TECHNOLOGIES,101487,sales@halibrite.com,800-396-4642,Richard Nichols,101487
MARINE AIR SUPPLY,101488,sales@komautomation.com & (send rfq's to both),410-477-6500,Dawn West,101488
AERO PRECISION INDUSTRIES,101493,,800-621-3335,,101493
"INSL-X PRODUCTS, CORPORATION",101494,,617-884-0250,Wendy Eggers,101494
SPIRAL TOOL CORP.,101495,,888-330-6932,Jack Bigpond,101495
DOUGLAS AUTOTECH,101496,sales@pacificecho.com,437-2751,Albert,101496
E N M COUNTERS,101497,,452-2200,SALES,101497
INDUSTRIAL FILTER MFGRS       ,101500,,800-722-5273,Sophie-Andree Beauchamp,101500
"AIRFLYTE ELECTRONICS CO., INC.",101502,,260-449-9741,JIM DE KEUSTER,101502
HUBER AND SUHNER INC.,101504,,314-644-4300,SCOTT KARAS,101504
DREMEL,101509,,989-723-8985,Jeff,101509
"TRIANGLE RUBBER CO., INC.",101511,,301-356-6011,Dan McMurray,101511
LOUIS ALLIS LLC,101512,baurich@cccparts.com,716-684-7600,SALLY NEIL,101512
HILLIARD CORPORATION,101514,Anthony.Tokunaga@pccairframe.com,812-273-1121,ELONA BROWN,101514
WESTERN DESIGN,101515,,315-361-1595,Mike Hoffman,101515
ROLLS-ROYCE GEAR SYSTEMS,101516,gfd@goldenfleecedesigns.com,437-7706,SALES,101516
"THALES OPTICS, LTD.",101519,,800-553-3355,SALES DEPT.,101519
SINCLAIR & RUSH INC.,101520,trishas@piperonline.net,631-273-8313,John Nelson,101520
"MD HELICOPTERS, INC.",101524,customerservice@gmpartsdirect.com,717-938-8844,CHERRY VIRAY-CODERA,101524
EC/NDT LLC,101527,,414-353-3112,AMANDA MCCALEB,101527
IMPERIAL ELECTRIC COMPANY,101528,,858-541-2880,BOOMER,101528
BERENDSEN PMC AS,101531,,603-332-9000,CHRISTIAN ASHCRAFT,101531
TRISEAL CORPORATION,101533,,812-945-0211,SALES,101533
"WORTHINGTON AVIATION PARTS,INC",101546,,716-634-3656,JACK HURST,101546
LEN MYERS & ASSOCIATES INC.,101549,,800-903-2760,,101549
SEALAND POWER DISTRIBUTORS LLC,101550,CWALLGREN@MOBILEMARK.COM,438 8915,KEVIN BUTTON,101550
ADVANCED POWER PRODUCTS,101551,,800-526-1183,Trish Riemer,101551
MARINE SYSTEMS INC.,101552,sales@tasco-safety.com,800-448-7626,Jeff Jankowski,101552
DIE CUT PRODUCTS CO.,101559,,845-343-4077,Marie Sangillo,101559
A & M AEROSPACE INC.,101560,,800-394-4804,CONNIE FAVELA,101560
KOERNER FORD OF SYRACUSE INC.,101568,LILIAN@ENTIRECOUPLING.COM,972-641-2100,SALES,101568
OCEAN DATA EQUIPMENT CORP.,101570,,847-866-6030,MARK BOSWELL,101570
"PENGATE HANDLING SYSTEMS, INC.",101571,ssmith@makdad.com,281-442-0544,Cliff Wilson,101571
ATLANTIC TUBING CO.,101574,,7173975100,Melissa Reichman,101574
KOCH MEMBRANE SYSTEMS,101580,,647-203-0739,JASON PARADIS ,101580
ASTRO TOOL CORPORATION,101584,,202-338-9100,SALES,101584
KENT COMPONENTS DISTRIBUTION,101589,,262-797-5730,Mark Rupprecht,101589
WESTINGHOUSE GOVT. SERVICES;,101591,,877-410-8605,BOB SKILLITER,101591
"JAMAICA BEARINGS COMPANY, INC.",101592,pmeberhardt@aol.com,631-467-2040,Eli,101592
ROGERS FOAM CORPORATION,101595,sandra@tonybairdelectronics.com,281-879-8849,DAVID MARTSCHINSKE,101595
POKORNY SALES & MFG. INC.,101598,sales@caseclub.com,515-262-5900,SALES,101598
"PINTA FOAMTEC, INC.",101601,alex@captaindaves.com,561-688-9246,SALES,101601
EXPANDED RUBBER&PLASTICS CORP,101609,,704-869-3923,MARTHA MYERS,101609
VALLEY SEAL COMPANY,101611,,914-237-4800,Mike O'Neill,101611
WARD LAFRANCE TRUCK COMPANY,101612,,877-548-3473,Nate Shahan,101612
CARTER MOTOR COMPANY,101613,,585-464-0313,RICHARD PAROBY,101613
"THOMAS WILLCOX COMPANY, INC.",101614,accountinghpw@h-pproducts.com,312-261-6161,SUE,101614
"GILLINDER BROS., INC.",101623,,843-261-3420,Connie Harper,101623
"TAWAS INDUSTRIES, INC.",101624,,607-363-2035,ST LOUIS PHONE LINES,101624
"CREED INTERNATIONAL, INC.",101626,,716-876-9855    ,MICHELE LOPEZ,101626
FISHER-BAKER CORPORATION,101628,,800-422-4166,Dan Piet,101628
LAPMASTER INTERNATIONAL,101629,,870-235-7201,JIM NEVARA,101629
STARK EQUIPMENT LLC,101638,enquiries@lawson-his.co.uk,919-563-4820,ACT# JGB001,101638
REXNORD CORPORATION,101640,,360-387-9643,"Patrick Bertrand, Acctg.",101640
NELCO PRODUCTS,101653,ledwards@cctprecision.com,800-215-0440,Julie Lewis,101653
"STERLING PRECISION OPTICS, INC",101655,,570-213-5603,John Berzacelli,101655
"ACCUSPLIT, INC.",101657,,604-445-5410,WILLIAM ,101657
"HEIL TANK SERVICES, INC.",101660,sales@geeco.com,626-851-3100,Rich Farrar,101660
LCI INDUSTRIAL DISTRIBUTORS,101666,,229-873-3283,Randy Jasinski,101666
ROHDE&SCHWARZ INC.,101668,jajackson@aks.com,626-938-0200,***USE WEBSITE***,101668
BREEZE EASTERN,002070,sales@northeastlaser.com,800-435-8210,Sarkis ,002070
ANDERSON BRASS COMPANY,002074,cvazquez@safetysourceinc.com,+44 1344 207090,ROB GOFFREDO,002074
SEATS INCORPORATED,002080,,518-851-3351,Larry Cooper EXT. 26,002080
PEERLESS ELECTRONICS INC.,002081,SUPPORT@PRECISONLINE.COM,888-818-7573,Raemarie MEIER,002081
AUTO METER PRODUCTS INC.,002089,,909-481-4333,PEPPA O'SHEA,002089
BROOKS EQUIPMENT CO. INC,002097,,800-431-7278,JOHN / SALES,002097
MURRAY CORPORATION,002098,graff@humboldtmfg.com,800847-8606,Pete Perrine,002098
WEISS INSTRUMENTS INC.,002103,,305-235-5401,SALES,002103
FIVE STAR EQUIPMENT,002120,steve@walterco.com,440-967-6165,TERRY BRADY,002120
APS SYSTEMS INC.,002122,avesci@atlanticfasteners.com,214-381-7161,PAULETTE GERTIN,002122
EXIDE CORPORATION,002123,,800-343-4048,,002123
HAUCK MFG. CO.,002127,,971-727-3408,Regina Presto,002127
KECKLEY COMPANY,002129,SHANTI@VEEJAYPLASTIC.COM,281-941-7036,Elizabeth Maszlejak,002129
MAGLINE INC.,002146,,716-854-7633,JASON ORMAN,002146
HIGHWAY EQUIPMENT &,002155,,908-654-4380,Nancy,002155
U.S. MATERIALS HANDLING,002162,ASHLIE@ACCESSHOSEINTL.COM,844-227-6372,Sales,002162
MORSE INDUSTRIAL CORPORATION,002175,tberglund@ppmanufacturing.com,,DARLA CAMP,002175
TECHNICAL COMPONENTS,002190,,618-224-2000,Brittany Delgado,002190
REXEL INC.,002193,,800-423-2289,SALES,002193
FAG BEARING CORP.,002199,, ,,002199
DIAMOND CHAIN COMPANY,002209,info@elastoseal.com,248-399-4300,Tony Simon,002209
GRIMES AEROSPACE COMPANY,002218,,813-725-4644,Randy Wood,002218
MALONE SPECIALTY,002229,MCRUM@BEX.NET,315-626-2480,MELODY FRYMAN,002229
JOHNSON CONTROLS INC,002232,international@42photo.com,800-428-8610,Jim Sibson,002232
DIVINE BROTHERS CO.,002247,,800-999-0198,,002247
CENTURY FASTENERS CORPORATION,002250,csale@zenithaviation.com,843-987-3120,SALES DEPT.,002250
"ENGINEERED COMPONENTS, INC.",002252,Rebecca.Simpkins@trico-group.com,818-700-2901,"Terri Pietrantonio, AR",002252
SEALING DEVICES INC.,002253,mchilton@marshalltown.com,704-527-6555,Martin Thevik,002253
"SARCO HYDRAULICS, INC.",002265,,718.994.0100,Sales,002265
"THE WISE CO., INC.",002284,tina.lara@terex.com,800 685-0657,DENNIS,002284
HATCH & KIRK INC.,002301,,457-2121,Marianne Ducros-Demas,002301
SPARTON CORP.,002304,,315-682-7760,SALES,002304
"STEELMASTERS, INC.",002306,,314-961-7444,,002306
"PPG INDUSTRIES, INC.",002323,,800-923-6255,,002323
THE RUBBER GROUP,002329,CYNTHIA.MCNAMEE@LDREDMER.COM,877-547-3907,DOUG WALLINGFORD,002329
EDWARDS VACUUM LLC.,002331,****  SEE NOTES  ****,801-487-2214,AR,002331
MAXIMA TECHNOLOGIES ,002344,Joseph.Fiorentino@L3Harris.com,330-783-2000,CUSTOMER SERVICE,002344
"FARADAY, INC.",002349,,715-246-9500,JOHN IAMARINO,002349
NAPCO INTERNATIONAL,002355,,844-342-5548,Leslee Schneider,002355
NEW HAMPSHIRE BALL BEARING,002356,,718-723-6500,Karen Okita,002356
MARYLAND METRICS,002363,sales@haguefasteners.co.uk,310-639-0385,WILLIAM P MACECEVIC JR,002363
KENTAK PRODUCTS COMPANY,002366,ed@morrill-industries.net,800-626-6556,Julie Barcelos X7915,002366
TRANSCAT / E.I.L.,002370,,978-922-6000,DON MASSUCCI,002370
CRISSAIR INC.,002374,BE-NA-CPINSIDESALES@jci.com,513-719-2352,SUSAN CALVERT,002374
TRANE US INC,002375,murphy@compressorworld.com,479-5544,Russ Ayers,002375
J. NATHAN HARDWARE SPECIALITY,002377,,703-327-3620,SALES/MELINDA HILL,002377
ROTEK INC.,002379,lesley.cooper@meggitt.com,610-343-6000,Claire,002379
APOLLO AEROSPACE COMPONENTS,002380,,913-647-7700,Paul Gardner,002380
THE BRINKMAN CORPORATION,002383,,701-774-2195,Pat Foster,002383
"M-B COMPANIES, INC.",002387,ana.hill@broadstone.com,816-741-9100,SALES,002387
AEROSPACE FITTING,002395,mnelson@labelmaster.com,239-436-1581,TONY/JAY CUTAIA,002395
BARRY CONTROLS CORPORATION,002403,,704-375-3328,Scott Cranmer,002403
PIC DESIGN,002417,,919-787-8214,Ray Westfall,002417
"REXNORD INDUSTRIES, LLC",002423,sandy.wood@bblumber.com,419-629-2068,MARK,002423
STANDARD PRODUCTS CO.,002425,,505-867-6045,VACHE BAHADASSIAN,002425
NORDEX INCORPORATED,002433,,562-594-8411,SUSAN MATTIE,002433
"UMPCO, INC.",002435,KEVIN@PARKERHYDRAULICS.CO.UK,350-2004,JOE MARSHALL,002435
VOSS INDUSTRIES INC.,002443,sales@ustool.com,513-527-4444,LAURIE METCALF,002443
KOCSIS BROTHERS MACHINE,002446,,410-876-3616,,002446
WELLMAN PRODUCTS GROUP,002460,asmw@asmw1.com,315-439-0924,ROBERT A FINKENZELLER,002460
HAYS FLUID CONTROLS,002466,s.zimdahl@gollmer-hummel.com,315-422-0200,(see notes B4 sending RFQ,002466
HARMONY ENGINEERING,002468,,703-996-8142,,002468
BLACHFORD INC.,002471,,941-359-9844,"Brad Merle, Owner",002471
TROMBETTA CORPORATION,002476,,856-488-8300,NICK FONTANA,002476
"O-RINGS, INC.",002478,sgalla@worldmagnetics.com,231-722-3781,Doug Falso,002478
COORS TEK     ,002481,,805-530-0027,DIRK HUENICK,002481
"GATEWAY SUPPLY CO., INC",002482,,592-4400,RYAN,002482
HEYCO MOLDED PRODUCTS,002484,,631-847-0158,Art Garcia,002484
"S.S. WHITE TECH., INC.",002486,paulv@hartwellcorp.com,215-323-3800,IVAN PAZ,002486
"ESMET, INCORPORATED",002488,,631-842-4900,MIKE WALSH,002488
AYER SALES,002495,michael@southwestthermal.com,734-941-0266,JOHN ENGLERT,002495
BDI - BEARING DISTRIBUTORS INC,002497,Deb.Smith@exelisinc.com,863-676-2245,SALES,002497
HUNTER MFG. COMPANY,002501,JasonS@Manuli-hydraulics.us,952-933-6795,Mason Lane,002501
D.B. ROBERTS COMPANY,002502,aosorio@cleanseal.com;jshinall@cleanseal.com,860-677-6711,SALES,002502
PLEWS INC,002505,sales@highpressure.com,607-432-5376,,002505
SUNDSTRAND POWER SYSTEMS,002512,,214-343-1075,"Michael Wood, Pres.",002512
CIRCLE SEAL CONTROLS INC,002520,,225-751-0500 ,Ben Austerman x252    ,002520
ROGNESS,002528,terry@posconninc.com,281-487-3160,SALES,002528
GM FLUID POWER CORP,002530,,440-232-5100,Customer Service,002530
NEWARK ELEMENT 14,002538,odb@odbco.com,206-682-8700,MARY RUSSELL,002538
TIMBER-TOP INC.,002540,hydroparts@hydromechanical.com,800-342-1221,HENRY SHONTZ X209,002540
"EMCO WHEATON USA, INC.",002553,orders@vacuforce.com,716-828-1322,Donna DeVita X2225,002553
CHESTER HOIST,002554,,011380512454045,"Carolyn Lohkemper,Acctg",002554
AAR MOBILITY SYSTEMS,002557,TWALSH@ACTONMETAL.COM          ,314-739-3818,TOM,002557
ALLMETAL SCREW PRODUCTS,002564,,985-851-2400,Dr. Arnold E. Liu EVP,002564
NYCOIL COMPANY,002568,sales@ralmark.com,770-955-3030,MITCH WINTERMAN,002568
"PROTECTOSEAL COMPANY,",002569,sales@astfinishing.com,0116328313794,Allan Kerns,002569
AMETEK ROTRON,002572,iceball@cnool.net,256-585-6868,Tony Menditto,002572
TANKCRAFT CORPORATION,002582,,585-445-8765,Elliot Zach,002582
GEFCO,002583,,315-437-0397,,002583
HARDWARE SPECIALTY COMPANY,002584,info@farymann.com,714-632-8198,Buck Hatch/Les Henson,002584
"ARROW MASTER, INC.",002591,,800-523-1266,Tom Gries,002591
LENCO INCORPORATED,002597,,301-863-5499,TOM MURANKO,002597
DRESSER-RAND GROUP,002599,,708-389-7333,Mona Wood,002599
HYDRO AIR,002600,frhodes@arcon.org,941-485-1515,Patti Woitena,002600
TRENTON PIPE NIPPLE COMPANY,002603,,412-628-4171 ,Kevin Darling,002603
AUBURN ARMATURE,002604,FGuzzardo@nccgreen.com,724-537-9000,JIM BURCHFIELD,002604
ACUTEK INC,002607,,865-408-0100,Kaye Johnson,002607
AUSTIN IGNITION CO.,002629,,713-644-5353,greg,002629
ZEPHYR INDUSTRIES,002631,,859-255-5001,ELIZABETH TINEO,002631
FLUID KINETICS,002636,,800-878-5501,Bill Dempsey,002636
MULLEN INDUSTRIAL HANDLING CO.,002645,peterbmuller@me.com,714-893-1847,ANDREW LOSETH,002645
LEGEND VALVE & FITTING,002652,patrizia.anselmi@filtrex.it,517-393-4040,MaryAnn Kane,002652
"CHAMP INDUSTRIES, INC.",002656,,319-671-7105,Dana Baker,002656
DENT MANUFACTURING INC.,002664,sales@linmarr.com,641-257-1961,Barry Rothwell,002664
CORCOM INC.,002666,,703-761-2600,Frank Carr,002666
"AIRPAX CORPORATION, LLC",002669,,217-224-9600,NINA CULLEN x205,002669
WARNCO ASSOCIATES,002670,Caitlin.Luttig@araymond.com,253-773-3220,Ed Gorel,002670
ROESSEL & COMPANY,002674,amanda@uipintl.com,860-242-4461,Ruben Martinez,002674
RPA ELECTRONICS,002675,dmitchell.arrowmachining@gmail.com,513-841-3100,Jonathan Leonhardt,002675
BUD INDUSTRIES,002682,,866-434-7140,ANNELLA BAKER-n/a 2013,002682
TROMPETER ELECTRONICS,002683,mrospert@norweco.com,310-944-9352,Oben Cabalceta,002683
AMERICAN PRECISION INDUSTRIES,002684,,813-805-9554,Wayne Lovett,002684
SPECTRUM CONTROL INC.,002688,,918 663-8380,SALES,002688
C & K COMPONENTS,002689,,207-721-9911,WALT PHILLIPS,002689
TRU-CONNECTOR CORPORATION,002690,,716-667-6219,Joby Lewis,002690
AKRON BRASS COMPANY,002693,standart@europe.com,763-537-8435,mindy.rapp@honeywell.com,002693
SIMCONA ELECTRONICS CORP.     ,002698,,877-632-4876,,002698
MCDONALD EQUIPMENT CO.,002699,SEVANS@JGBHOSE.COM,505-872-0037,SCOTT WEXLER,002699
CII TECHNOLOGIES,002701,,704-596-2580,Customer Service,002701
THE CARLYLE JOHNSON MACHINE,002702,,256 734-6538,Jessica Mitchell,002702
ELECTROSWITCH,002704,jhauck@malinco.com,201-227-1962,Marion Claucherty,002704
GLENAIR INC.,002705,JOHN.MCGILL@CODANCOMMS.COM,330-425-8444,SALES,002705
CONSUMERS AIRCRAFT COMPANY,002706,,800-800-4272,CUSTOMER SERVICE,002706
COLUMBUS-MCKINNON CORPORATION,002710,bradh@campoequipment.com,585-872-5650,,002710
NYTRONICS COMPONENTS,002715,,800-242-7353,,002715
"AUTOMATIC CONNECTOR, INC.",002716,MG@MGTELECTRONICS.COM,972-530-1371,CRYSTAL SZINEGH,002716
GAMBLE DISTRIBUTORS INC.,002726,,800-334-5071,DIANE HILTON,002726
TE CONNECTIVITY CORPORATION,002737,mikekelly@acornind.com,416.747-4300,Tim Labenski,002737
SOUTHCO INCORPORATED,002739,msethi@ptimd.com,201-438-9190,Nancy Preeper,002739
WESCON PRODUCTS,002747,rbennett@am-ind.com,302-322-5411,Marge,002747
M.D. HUBBARD SPRING CO.,002748,,201-933-8488,AMBER MAHON,002748
"WAVETEK R.F. PRODUCTS,",002761,,705-743-2926,DAWN PROSSER,002761
HEIM BEARINGS           ,002769,,310-802-2640,WILLIAM E. VERNIER JR.,002769
"MEIER SUPPLY CO., INC.",002771,jonathan@seiglobalsales.com,516-248-9700,Christian Chandler,002771
FORSHEDA SHAFT SEAL CORP,002772,,818-787-0311    ,**MUST USE DISTR**,002772
M/A-COM ,002773,,215-526-2300,Greg,002773
GREAT LAKES PLASTIC,002776,frank.maring@scientech-inc.net,513-984-4016,STEVE COY,002776
ADMAR,002779,jesus@raptorhose.com,281-590-3240,Bill D'Andrea,002779
"POWELL ELECTRONICS, INC.",002784,cheryl.rivers@xcerra.com,800-234-7660,David Revette,002784
BEEDE ELECTRICAL INST.,002786,EMAIL@CAMTECHINDUSTRIES.COM,215-831-5400,Sales Department,002786
NORTH AMERICAN CAPACITOR,002787,,775-885-1280,FRANK,002787
F.M. STEVENSON CO. INC.,002789,,866-330-1272,BEVERLY JAMES,002789
LABELMASTER,002792,,800-652-6733,MORGAN DOODY,002792
CIVACON,002793,,708-867-6080,Richard Brunhouse,002793
HOBBS CORPORATION,002794,,800-874-0619,Greg Jackson,002794
ACE HYDRAULIC & PNEUMATICS,002795,sales@cleveland-trencher.com ,586.739.1970,TIM GRAGSON,002795
WAUKESHA BEARING CORPORATION,002818,,866-469-3800,Drew Franz,002818
"ADVANCED LOGIC RESOURCES, INC.",002829,,314 771-0700,CYNTHIA ORCHARD,002829
ALTRA INDUSTRIAL MOTION,002833,info@carmarka.com,314-894-5500,Denise Tangherlini,002833
L3 COMMUNICATIONS WESTWOOD ,002834,info@bbhemphillspring.com,(866) 764-9900,Customer Service,002834
FCX PERFORMANCE/AMSCO SALES,002836,jason.klun@pwpump.com,219-879-0241,Serge Ganthier,002836
MCNAB INC.,002840,SEE NOTES COMMERCIAL USE ONLY,800-822-4329,Sal Fernandez,002840
H & C TOOL SUPPLY,002846,rbrown@calgoncarbon-eu.com,707-535-2700,Mark Bergeron,002846
LANDOLL CORPORATION,002847,jhoover@floydbell.com,314-714-1950,Josh Calkins,002847
"INDAL TECHNOLOGIES, INC.",002852,,413-781-8300,LUKE RODRIGUES,002852
BORG WARNER AUTOMOTIVE,002857,,800-997-1921,KELLY MILLS,002857
AERCO INTERNATIONAL INC.,002862,,319-334-7068,Nancy Stiner,002862
NATIONAL REFRIGERATION &,002863,,602-283-5067,Mark Gibson,002863
ALFA LAVAL INC.,002864,AR.USA@ATLASCOPCO.COM,704-684-0223,ANNA SLAIDINS,002864
"RAYBESTOS POWERTRAIN, LLC",002867,orders@waldom.com,800-759-6693,CUST/ SERV SALES,002867
HERSH PACKING & RUBBER,002869,,718-789-2424,Ryan Tarzian,002869
LIDGERWOOD MFG. COMPANY,002871,,800-950-6656,SALES,002871
ROBERT SHAW CONTROLS COMPANY,002875,,920-592-3779,BOB,002875
PAPER CALMENSON & COMPANY,002879,,816-842-2750,DON MCHENRY,002879
EAGLE CRUSHER INC.,002882,,419-284-3381,Kevin Marheine,002882
"PUROLATOR FACET, INC.",002883,,914-666-2911,David Tejera,002883
SPRAY PRODUCTS,002885,,800-333-3599,,002885
"COMPONENT RESEARCH CO., INC.",002896,,888-352-6332,CHRISTY TYLER,002896
BERKEL,002898,,818-504-0644    ,JAMES WEBB,002898
S.V. MICROWAVE PRODUCTS,002899,,973-773-4256,Sales,002899
LOCKHEED MARTIN TACTICAL,002901,,724-778-3380,NEIL WELLS,002901
SPX CORPORATION,002902,****DO NOT USE THIS VENDOR!!!!,716-694-3750,MARY JO HEIAR,002902
"AFCON PRODUCTS, INC.",002903,tbarber@bdi-usa.com / rochester@bdi-usa.com,315-422-9275,MICHAEL MIJARES,002903
GARDNER DENVER CANADA CORP.,002910,,800-423-7717,Robin Griff,002910
MARSH BELLOFRAM CORPORATION,002921,airdoordistributors@gmail.com,315-652-3800,"DeannaSawyer,AR/ A.Muqbel",002921
SYRACUSE THERMAL PRODUCTS,002926,bremerton@servmart.org,847-634-8990,JEFF HANSON,002926
THE HOMER D. BRONSON CO.,002928,,574 246-5000,"Jamie Schnur, Ops Mgr.",002928
DARNELL-ROSE DIVISION,002935,eriegler@keystonefilter.com,800-833-2040,Kim / Dana,002935
"BOURNS, Inc.",002936,accoar@kitocrosby.com,704-857-1156,Bobby,002936
"HOWELL LABORATORIES, INC.",002940,wrzos.andy@aeromix.com,800-258-3851,Martha Stollenwerk,002940
THERMAL STRUCTURES INC.,002944,,440-248-6005,"Anita Fulk,AR/Linda Cave",002944
COVENTRY MFG. CO. INC,002946,,480-483-8942,Dave Seymour,002946
RENOLD INC.,002948,orders@mtmcase-gard.com,603-432-1718,MARY,002948
BASIC RUBBER & PLASTIC,002951,tlangelier@epectec.com,818-846-8181,SALES,002951
SQUARE D,002954,,508-521-6714,Steven Hanaka,002954
MOTOROLA,002955,scott@jerpbakbayless.com,203.268.7238,Rosa Deleon,002955
TATE ANDALE,002957,fdrohan@r-kmfg.com,320-352-5239,Kate Boone,002957
GEAR PRODUCTS INC.,002958,,973-253-0100,SALES,002958
KJ ELECTRIC,002959,pedens@vsecorp.com,516-742-6766,PAULETTE CAMPBELL,002959
"STEWART & STEVENSON TVS,LP",002960,accounting@comtac.com,678-566-9660,"Malden ""Kasper"" Clermont",002960
UNIWELD PRODUCTS,002961,,716/674-0406,Michelle,002961
GUARDIAN ELECTRIC MFG.,002962,sborzenski@stanchem-inc.com,724-935-5666,Walt Inman,002962
FOSS BROWN,002965,,614-383-6376,Karen Behm,002965
SUNAIR COMPANY,002967,,800-989-2783,WOLFRAN DIAZ,002967
ACOPIAN TECHNICAL COMPANY,002969,kathyf@gleicher.com,607-962-6054,Randy Uveges,002969
WRIGHT TOOL CO.,002970,,315-736-3081,Jane,002970
ERICKSON PRODUCTS COMPANY,002972,,613-203-2476,MARLA BURLINGAME,002972
AMPHENOL CORPORATION ,002974,,973-498-7333,Chris Schiffmacher,002974
ARTUS,002975,,914-287-3577,Sheila Sudderth,002975
ARGO INTERNATIONAL,002976,,1-800-828-8824,SALES,002976
U.W.D. MANUFACTURING INC,002977,,631-698-3350,GLEN MARTIN,002977
AAT COMMUNICATIONS CORPORATION,002980,,800-762-0030,Glenn Hopler,002980
PRECISION SPEED INST.,002981,,781-909-0069,Shary K.,002981
RICHARDSON ELECTRONICS,002985,info@hylinesafety.com,610-967-6388,Tim Saunders,002985
SEALTRON INC,002987,,248-852-6500,SALES,002987
RUMETCO SALES,002992,THAIDET@SPECIALTYHOSE.COM,437-8451,LAURA,002992
PRECISION ELECT. CORP.,002997,,513-874-3733,Dave,002997
PYLE CONNECTORS-SINE SYSTEMS,002998,,455-6200,PAUL DENYER,002998
GREER COMPANY,003003,,315-457-4330,STACEY SMITH,003003
BOMAG AMERICAS,003009,jennifer@ustacticalsupply.com,877-863-5227,Tim Miller,003009
"PRIME TECHNOLOGY, INC.",003010,,800-553-1911,John Kovaleski,003010
DAKE,003011,,214-932-8422,Brian Nguyen,003011
ALEK INDUSTRIES,003012,chris@precisioncoatingtech.com,505-887-2044,mary koch,003012
STANT CORPORATION,003015,pbinman@yourlsi.com,402-331-1797,Susan Pabon,003015
"J.A SEXAUER, INC.",003016,,352-378-3209,JAY PUTT,003016
SAIC,003021,jnelson@protofabengineering.com,732-681-0707,FAX #412-228-2122,003021
"HYSPAN PRECISION PRODUCTS, INC",003028,wdyle@highsidechem.com,508.429.2005,SALES,003028
SAINT-GOBAIN PERFORMANCE ,003033,BILLY.RICE@FERGUSON.COM,463-0088,JOE BOTT,003033
KIDDE TECHNOLOGIES INC.,003034,ckelsch@ballypa.com,203-753-6876,Terry Chaney x 105,003034
PETTIBONE TIFFIN,003035,,704-637-7110,Bob O'Neill,003035
STRATO-TOWER INC.,003041,,936-569-7941,Jarrod Norman,003041
METUCHEN CAPACITORS,003043,sales@keylessaccesslocks.com,315-834-6406,Gail Blum,003043
CONDUCTIVE SYSTEMS INC.,003059,,315-422-1558,Jim MacMillan,003059
S.L. WABER INC.,003066,,716-852-7731,Michael Jeraci,003066
WERNER CO.,003068,,866-257-7995,Don Lewis,003068
AAK CORPORATION,003069,,864-574-8060,GENE MENZIES,003069
KOEHRING CRANES ,003072,allisonb@hydrofitting.com,724-776-7273,CUSTOMER SERVICE,003072
MID-STATE SALES INC,003073,bg@tsfasteners.com,215-348-9074,,003073
NIAGARA PLASTICS COMPANY,003074,PATTY.MARTIN@DSI-HUMS.COM,330-734-3600,CUSTOMER SERVICE,003074
"VELVAC, INC.",003076,,+82-51-532-6033,Mike,003076
"EBERL IRON WORKS, INC.",003084,Leisa.Allenbaugh@signwarehouse.com,585-343-6211,Debbie McCoy,003084
HARTWELL COMMERCIAL PRODUCTS,003085,sales@youngeng.com,708-594-5890,Alex Richardson,003085
"J.O. KING, INC.",003089,,215-657-8600,AMANDA LEONHARDT,003089
WELDON PUMP COMPANY,003090,dealers@meopta.com,513-934-3201,DICK COREIA,003090
GROTE MANUFACTURING COMPANY,003091,gregjadin@starmarketinginc.com,440-329-9288,"Joe Covey, Sales",003091
ALLIED DEVICES CORPORATION,003094,,585-343-5251,Harry,003094
PRECISION UNIVERSAL,003102,,800-468-4131,Ben Collins,003102
GREENE TWEED & CO. INC.,003104,,800-888-3048,Tom Corathers,003104
THERN INCORPORATED,003105,bkabbaz@barmesapumps.com, ,Bill Reese,003105
POWER CORDS & CABLES,003110,,770-729-8860,RAY MASIGLA,003110
"BENDIX COMMERCIAL VEHICLE, LLC",003115,ncarter@parker.com,315-457-4848,Tina Reid,003115
HAGGARD & STOCKING ASSOCIATES,003116,,850-864-4004,MARK,003116
FEDERAL EQUIPMENT,003117,sales@atcomponents.com,702-388-0800,NICK LOSITO,003117
HANTEK INC.,003126,,913-353-6188,SAID HUSKIC,003126
CLAMPCO PRODUCTS,003132,kminkiewicz@mta-usa.com,508-852-5400,GREG CEUCH  X 4293,003132
HOWMET GLOBAL FASTENING SYSTEM,003137,sales@rpaelect.com,314-553-4458,Walt Sheean,003137
BELL TEXTRON INC.,003148,ACCOUNTSPAYABLE@AMERICANROCKSALT.COM,315-437-6801,BILL HARRIS,003148
ATLANTIC CORDAGE,003151,,724-479-3533,Michelle Barnett-Sales,003151
SENIOR ENGINEERING CO.,003170,,315-652-3773,HPD.QUOTES@SUPPORT.PARKER,003170
